id,policy_title,description_short,agency,policy_area,status,status_detail,status_source,p2025_page,last_updated,status_bucket
118,Transportation,Stop the use of the International Civil Aviation Organization (ICAO) to increase standards on airplanes.,U.S. Environmental Protection Agency,Transportation,Initiated/Attempted,"United States Objects to “Sustainable” Aviation Fuels Recommendation at International Civil Aviation Organization Meeting (March 3, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,426,2026-02-11,In progress
119,Transportation,Reconsider the Cleaner Trucks Initiative to balance the goal of driving down emissions without creating significant costs or complex burdens on the industry.,U.S. Environmental Protection Agency,Transportation,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,426,2026-02-11,Not initiated
120,Permitting Reforms,"Restore the Trump EPA position on Once-In, Always-In (that major sources can convert to area sources when affiliated emissions standards are met",U.S. Environmental Protection Agency,Permitting Reforms,Completed,"Biden-era rule repealed through the Congressional Review Act, which restored the Trump-era rule (Trump signed the resolution into law on June 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,426,2026-02-11,Completed
121,Environment,"Revise general implementing regulations for existing source regulatory authority under CAA § 111(d) to ensure that EPA gives full meaning to Congress’s direction, including source-specific application, and that the state planning program is flexible, federalist, and deferential to the states",U.S. Environmental Protection Agency,Environment,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,427,2026-02-11,Not initiated
122,Personnel Organizational Agenda,"Place a political appointee in Ann Arbor, Michigan, for the Office of Transportation and Air Quality (OTAQ, regulating mobile sources) and a political appointee in Research Triangle Park, North Carolina, for the Office of Air Quality Planning and Standards, and establish a political Chief of Staff in DC to manage the air office",U.S. Environmental Protection Agency,Personnel Organizational Agenda,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,428,2026-02-11,Not initiated
123,Personnel Organizational Agenda,Pull the Renewable Fuel Standard (RFS) program out of OTAQ; establish its own suboffice in D.C  and establish a Memorandum of Understanding with the Department of Agriculture and the Department of Energy to work together to establish RFS programs.,U.S. Environmental Protection Agency,Personnel Organizational Agenda,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,428,2026-02-11,Not initiated
124,Personnel Organizational Agenda,Require regional air offices to receive approval from OAR before moving forward with enforcement actions,U.S. Environmental Protection Agency,Personnel Organizational Agenda,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,428,2026-02-11,Not initiated
125,Water,"The August 6, 2019, “Office of Water Policy for Draft Documents” memorandum should be strictly enforced to ensure transparency as well as good governance by not letting guidance linger in draft form and by also ensuring that guidance documents are clearly just that: guidance",U.S. Environmental Protection Agency,Water,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,428,2026-02-11,Not initiated
126,Water,"A rule that provides clarity and regulatory certainty regarding the CWA Section 401 water quality certification process to limit unnecessary delay for needed projects, including by establishing a discharge-only approach with a limited scope  -- assessing only water quality factors that are consistent with specific CWA sections, and  excluding speculative analysis regarding future potential harm.",U.S. Environmental Protection Agency,Water,Initiated/Attempted,"Memo on ""Clarification regarding the Application of Clean Water Act Section 401 Certification"" (May 21, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,429,2026-02-11,In progress
127,Water,Reform rules to: ensure that CWA Section 30831 has a clear and enforced time limit; to clarify the standard for criminal negligence under CWA Sections 402 and 404; to prohibit retroactive or preemptive permits under CWA Section 404; to promote and shape nutrient trading that utilizes a carrot-versus-stick approach when dealing with nutrient compliance; to update compensatory mitigation that imposes no new or additional requirements beyond current law.,U.S. Environmental Protection Agency,Water,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,429,2026-02-11,Not initiated
128,Water,Create a rule on updates necessary for the effective use of the CWA needs survey,U.S. Environmental Protection Agency,Water,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,429,2026-02-11,Not initiated
129,Water,Sign an executive order requiring EPA to find avenues and expedite the process for states obtaining primacy in available CWA and SDWA programs. This order would require coordination with the Army Corps of Engineers and the Department of the Interior.,U.S. Environmental Protection Agency,Water,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,430,2026-02-11,Not initiated
130,Land,The Office of Land and Emergency Management (OLEM) should adopt EPA’s Lean Management System (ELMS) across all OLEM programs.,U.S. Environmental Protection Agency,Land,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,431,2026-02-11,Not initiated
131,Environment,Revise the National Oil and Hazardous Substances Pollution Contingency Plan (NCP) to modernize and streamline the cleanup process using lessons learned from the execution of the NCP over the past 40-plus years.,U.S. Environmental Protection Agency,Environment,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,431,2026-02-11,Not initiated
132,Environment,"Expand and fully stand up the Office of Mountains, Deserts and Plains to support innovative approaches to the cleaning up of abandoned mines.",U.S. Environmental Protection Agency,Environment,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,431,2026-02-11,Not initiated
133,Environment,Promulgate a rule that provides an alternative pathway to hazardous waste regulation to allow the transport of material to legitimate recyclers or back to manufacturers to support the recycling and reuse of material.,U.S. Environmental Protection Agency,Environment,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,432,2026-02-11,Not initiated
134,Environment,Reassign regulation and enforcement of air emission standards under the authority of RCRA Section 3004 to OAR and revise and modernize the regulations to comport and integrate with CAA rules.,U.S. Environmental Protection Agency,Environment,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,432,2026-02-11,Not initiated
135,Personnel Organizational Agenda,"Eliminate or consolidate the regional laboratories and allow OLEM to use EPA, other government, or private labs based on expertise and cost.",U.S. Environmental Protection Agency,Personnel Organizational Agenda,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,432,2026-02-11,Not initiated
136,Personnel Organizational Agenda,Eliminate the Office of Emergency Management and reassign its functions,U.S. Environmental Protection Agency,Personnel Organizational Agenda,Completed,"Appears to have been completed. According to the OLEM website, it appeas that OEM Has been combined with the former Office of Superfund Remediation and Technology Innovation to create a new Office of Superfund and Emergency Management",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,433,2026-02-11,Completed
137,Chemicals and Pollution,Transition the Safer Choice program to the private sector.,U.S. Environmental Protection Agency,Chemicals and Pollution,Initiated/Attempted,"Press reports that the Safer Choice program has been significantly weakened and politicized through agency restructuring (June 5, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,434,2026-02-11,In progress
138,Chemicals and Pollution,ESA reform for pesticides is necessary to consider their beneficial effects,U.S. Environmental Protection Agency,Chemicals and Pollution,Completed,"Strategy to Protect Endangered Species from Insecticides (April 29, 2005)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,435,2026-02-11,Completed
139,Regulations,"The new President’s Inauguration Day regulatory review/freeze directives should avoid exceptions for EPA actions. This freeze should explicitly include quasi-regulatory actions, including assessments, determinations, standards, and guidance, that have failed to go through the notice-andcomment process and may date back years.",U.S. Environmental Protection Agency,Regulations,Completed,"Memorandum on Regulaotry Freeze Pending Review (January 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,436,2026-02-11,Completed
140,"Pause for review all contracts above $100,000 with a heavy focus on major external peer reviews and regulatory models","Pause for review all contracts above $100,000 with a heavy focus on major external peer reviews and regulatory models.",U.S. Environmental Protection Agency,,Initiated/Attempted,"Internal documents staff requiring approval by DOGE of all grants valued at $50,000 or greater",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,436,2026-02-11,In progress
141,Regulations,"Eliminate the use of unauthorized regulatory inputs like the social cost of carbon, black box and proprietary models, and unrealistic climate scenarios, including those based on Representative Concentration Pathway (RCP) 8.5",U.S. Environmental Protection Agency,Regulations,Completed,"Executive Order 14154 (January 20, 2025);
M-25-27: Memorandum for Regulatory Policy Officers Prohibiting the Use of the Social Cost of Carbon (May 5, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,436,2026-02-11,Completed
142,Regulations,"Suspend and review the activities of EPA advisory bodies, many of which have not been authorized by Congress or lack independence, balance, and geographic and viewpoint diversity",U.S. Environmental Protection Agency,Regulations,Completed,Dismissal of all members of the Clean Air Scientific Advisory Committee and the Science Advisory Board (announced January 28),https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,437,2026-02-11,Completed
143,Personnel Organizational Agenda,"The EPA should shift responsibility for evaluating misconduct away from its Office of Scientific Integrity, which has been overseen by environmental activists, and toward an independent body",U.S. Environmental Protection Agency,Personnel Organizational Agenda,Proposed,"Executive Order on Restoring Gold Standard Science (May 23, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,438,2026-02-11,In progress
144,Budget Organizational Agenda,"EPA should institute a pause and review for all grants over a certain threshold, and cap the number and dollar amounts of grants that the Office of Research and Development can award and require that they be reviewed by the Administrator’s office.",U.S. Environmental Protection Agency,Budget Organizational Agenda,Initiated/Attempted,"Press Reports That ""EPA orders staff to begin canceling research grants"" (April 21, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,444,2026-02-11,In progress
145,LGBTQ+ Equity,"Repeal and replace policies focusing on LGBTQ+ equity, subsidizing single-motherhood, disincentivizing work, and penalizing marriage",U.S. Department of Health and Human Services,LGBTQ+ Equity,Completed,90 FR 10025 removes gender references in Social Security data consistent with EO 14168,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,451,2026-02-11,Completed
146,Metrics/Data Systems,HHS should enter into a public–private partnership with a data-management expert to develop a system that makes critical information available to health care workers and policymakers in real time,U.S. Department of Health and Human Services,Metrics/Data Systems,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,454,2026-02-11,Not initiated
147,CDC Reform,"The CDC's vaccine safety programs, including the Vaccine Adverse Event Reporting System (VAERS), Vaccine Safety Datalink (VSD), and Clinical Immunization Safety Assessment (CISA) Project, should be transferred to the Food and Drug Administration",U.S. Department of Health and Human Services,CDC Reform,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,454,2026-02-11,Not initiated
148,Abortion/Reproductive Health,"The CDC should eliminate programs and projects that do not respect human life and conscience rights and that undermine family formation, which includes not supporting abortion as healthcare",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,455,2026-02-11,Not initiated
149,Abortion/Reproductive Health,"The CDC should fund studies into the risks and complications of abortion, ensuring that it does not promote misinformation regarding the comparative health and psychological benefits of childbirth versus the health and psychological risks of intentionally taking a human life through abortion",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,455,2026-02-11,Not initiated
150,Abortion/Reproductive Health,Update the CDC's public messaging about modern fertility awareness–based methods (FABMs) of family planning and stop publishing communications that relate such methods with “rhythm” or “calendar” methods,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,455,2026-02-11,Not initiated
151,Abortion/Reproductive Health,The CDC should fund studies exploring the evidence-based methods used in cutting-edge fertility awareness,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,455,2026-02-11,Not initiated
152,Abortion/Reproductive Health,"HHS should ensure that every state reports how many abortions take place within its borders, at what gestational age of the child, for what reason, the mother’s state of residence, and by what method. Statistics should be separated into the following categories: spontaneous miscarriage; treatments that incidentally result in the death of a child (such as chemotherapy); stillbirths; and induced abortion",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,455,2026-02-11,Not initiated
153,Abortion/Reproductive Health,The CDC should require monitoring and reporting for complications due to abortion and every instance of children being born alive after an abortion,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,455,2026-02-11,Not initiated
154,Abortion/Reproductive Health,"Track comparisons between live births and abortion across various demographic indicators to assess whether certain populations are targeted by abortion providers and whether better prenatal physical, mental, and social care improves infant outcomes and decreases abortion rates",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,455,2026-02-11,Not initiated
155,LGBTQ+ Equity,The CDC should immediately end its collection of data on gender identity,U.S. Department of Health and Human Services,LGBTQ+ Equity,Completed,EO 14168,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,456,2026-02-11,Completed
156,Pharmaceutical Regulation,"Revise applicable statutes and regulations to facilitate greater access to modified ""laboratory-developed tests""",U.S. Department of Health and Human Services,Pharmaceutical Regulation,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,457,2026-02-11,Not initiated
157,Pharmaceutical Regulation,The FDA should expand its current pass/fail approach to drug facility inspections into a graded system,U.S. Department of Health and Human Services,Pharmaceutical Regulation,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,457,2026-02-11,Not initiated
158,Pharmaceutical Regulation,HHS should exempt multi-source generic drugs from requirements to pay rebates to Medicaid and other federally funded health programs,U.S. Department of Health and Human Services,Pharmaceutical Regulation,Initiated/Attempted,"EO 14148 rescinded Biden EO 14087 (Lowering Prescription Costs), but IRA requires certain subsidies and HHS has not taken action",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,457,2026-02-11,In progress
159,Abortion/Reproductive Health,The FDA should reverse its approval of chemical abortion drugs,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,458,2026-02-11,Not initiated
160,Abortion/Reproductive Health,The FDA should immediately restore the Risk Evaluation and Mitigation Strategy (REMS) by removing the in-person dispensing requirement to eliminate dangerous tele-abortion and abortion-by-mail distribution,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Initiated/Attempted,"2021 REMS are still in effect, though FDA has posted a ""warning"" against patients buying mifepristone online outside of the REMS program",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,458,2026-02-11,In progress
161,Abortion/Reproductive Health,"The FDA should reinstate earlier safety protocols for Mifeprex that were mostly
eliminated in 2016 and apply these protocols to any generic version
of mifepristone",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,459,2026-02-11,Not initiated
162,Abortion/Reproductive Health,The FDA should address weaknesses in the current FAERS (FDA Adverse Events Reporting System) by reporting abortion pill complications,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,459,2026-02-11,Not initiated
163,Abortion/Reproductive Health,"The FDA should implement a policy of transparency about inspections of the abortion pill’s sponsors, Danco and GenBioPro, as well as facilities that manufacture the pills",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,459,2026-02-11,Not initiated
164,Abortion/Reproductive Health,The FDA should stop promoting or approving mail-order abortions in violation of long-standing federal laws that prohibit the mailing and interstate carriage of abortion drugs,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,459,2026-02-11,Not initiated
165,Pharmaceutical Regulation,The FDA should restore the waiver allowing bulk importation by doctors of certain Japanese-made vaccines to comply with the Religious Freedom Restoration Act,U.S. Department of Health and Human Services,Pharmaceutical Regulation,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,460,2026-02-11,Not initiated
166,Abortion/Reproductive Health,The FDA and NIH should require the development of drugs and biologics that switch to cell lines not derived from aborted fetal cell lines or aborted baby body parts,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Completed,"NIH announced it will no longer fund research using ""human fetal tissue"" (1/22/26)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,460,2026-02-11,Completed
167,Pharmaceutical Regulation,The FDA or Congress should regulate where and how paid advertising is used by pharmaceutical companies more stringently,U.S. Department of Health and Human Services,Pharmaceutical Regulation,Completed,"FDA has launched ""crackdown"" on direct-to-consumer ads, issuing 100 cease and desist letters to companies with deceptive ads",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,460,2026-02-11,Completed
168,Abortion/Reproductive Health,"HHS should promptly restore the ethics advisory committee to oversee abortionderived fetal tissue research, and Congress should prohibit such research altogether",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,461,2026-02-11,Not initiated
169,Abortion/Reproductive Health,"HHS should end intramural research projects using tissue from aborted children within the NIH, which should end its human embryonic stem
cell registry",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Completed,"NIH announced it will no longer fund research using ""human fetal tissue"" (1/22/26)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,461,2026-02-11,Completed
170,Abortion/Reproductive Health,"HHS should implement a plan to pursue and fund ethical alternative methods of research in order to ensure that abortion and embryodestructive related research, cell lines, and other testing methods become both fully obsolete and ethically unthinkable",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Proposed,see above at row 27,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,461,2026-02-11,In progress
171,Abortion/Reproductive Health,"The Administration should reconvene a new National Council on Bioethics (NCB) to discuss new and emerging areas of ethical concern, to assess whether the ends justify the means when it comes to the promise of therapies and cures, and to establish what limiting principles should guide research and health policy",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,461,2026-02-11,Not initiated
172,Abortion/Reproductive Health,"HHS should create and promote a research agenda that supports prolife policies and explores the harms, both mental and physical, that abortion has wrought on women and girls",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,461,2026-02-11,Not initiated
173,LGBTQ+ Equity,"The NIH should fund studies into the short-term and long-term negative effects of crosssex interventions, including “affirmation,” puberty blockers, cross-sex hormones and surgeries, and the likelihood of desistence if young people are given counseling that does not include medical or social interventions",U.S. Department of Health and Human Services,LGBTQ+ Equity,Proposed,"EO 14187 directs HHS to publish a review of existing data on gender-affirming care for children and ""increase the quality of data to guide practices for improving the health of minors with gender dysphoria...""",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,462,2026-02-11,In progress
174,Medicare,"Increase Medicare beneficiaries’ control of their health care through increased choice of doctors, hospitals, and insurance plans as well as access to
reliable information with respect to physicians, hospitals, and insurers",U.S. Department of Health and Human Services,Medicare,Initiated/Attempted,"Medicare/Medicaid program proposed rule makes changes to payment factors and star quality ratings (90 FR 33476, July 17, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,462,2026-02-11,In progress
175,Medicare,Ensure sustainability and value for beneficiaries and taxpayers by using market-based methods to determine reimbursement,U.S. Department of Health and Human Services,Medicare,Initiated/Attempted,"Medicare/Medicaid program proposed rule makes changes to payment factors and star quality ratings (90 FR 33476, July 17, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,462,2026-02-11,In progress
176,Medicare,"Reduce waste, fraud, and abuse, including through the use of artificial intelligence",U.S. Department of Health and Human Services,Medicare,Proposed,"EO 14179 directs agencies to come up with policies to use AI systems ""free from ideological bias or engineered social agendas"", but 89 FR 99340 (which is a proposed rule that would set guardrails around the use of AI in the Medicare program has not been withdrawn)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,462,2026-02-11,In progress
177,Medicare,"The next Administration should reintroduce and restore regulations and demonstrations including the Medicare Coverage of Innovative Technologies (MCIT) rule, the Risk Adjustment Data Validation (RADV) rule, the Medicare Advantage Qualifying Payment Arrangement Incentive (MAQI) demonstration, and the Global and Professional Direct Contracting (GPDC, rebranded as the Accountable Care Organization Realizing Equity, Access, and Community Health or ACO REACH) model",U.S. Department of Health and Human Services,Medicare,Completed,"The ACO REACH model has been used since 2023, and, starting in 2026 will operate with an adjusted financial methodology.",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,463,2026-02-11,Completed
178,Medicare,Advance site neutrality by eliminating the inpatient-only list and expanding the ambulatory surgical center covered procedures list,U.S. Department of Health and Human Services,Medicare,Initiated/Attempted,"Medicare/Medicaid proposed rule would expand site-neutral policies, phasing out inpatient-only list (90 FR 33476, July 17, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,464,2026-02-11,In progress
179,Medicare,CMS should expand the application of site-neutral payment options to more settings,U.S. Department of Health and Human Services,Medicare,Initiated/Attempted,"Medicare/Medicaid proposed rule would expand site-neutral policies, phasing out inpatient-only list (90 FR 33476, July 17, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,464,2026-02-11,In progress
180,Medicaid,"CMS should direct dollars to beneficiaries more effectively and responsibly by (1) ending state financing loopholes, (2) reforming payments to hospitals for uncompensated care, (3) replacing the enhanced match rate with a fairer and more rational match rate, and (4) restructuring basic financing and putting the program on a more fiscally predictable budget",U.S. Department of Health and Human Services,Medicaid,Completed,"April 10, 2025 State Medicaid Director letter",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,467,2026-02-11,Completed
181,Medicaid,"Strengthen program integrity by (1) incentivizing states with an enhanced contingency fee to help decrease waste, fraud, and abuse, (2) improving Medicaid eligibility standards to protect those in need, and (3) conducting oversight and reform of managed care",U.S. Department of Health and Human Services,Medicaid,Proposed,The Latest on What President Trump Is Saying About Medicaid | The Motley Fool,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,467,2026-02-11,In progress
182,Medicaid,"CMS should add work requirements and match Medicaid benefits to beneficiary needs, including a robust “personal option” to allow families to use Medicaid dollars to secure coverage outside of the Medicaid program.",U.S. Department of Health and Human Services,Medicaid,Completed,done through legislation,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,468,2026-02-11,Completed
183,Medicaid,CMS should clarify that states have the ability to adopt work incentives for ablebodied individuals and the ability to broaden the application of targeted premiums and cost sharing to higher-income enrollees,U.S. Department of Health and Human Services,Medicaid,Completed,done through legislation,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,468,2026-02-11,Completed
184,Medicaid,CMS should add targeted time limits or lifetime caps on benefits to disincentivize permanent dependence,U.S. Department of Health and Human Services,Medicaid,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,468,2026-02-11,Not initiated
185,Medicaid,"CMS should add flexibility to eliminate obsolete mandatory and optional benefit requirements and, for able-bodied recipients, eliminate benefit mandates that exceed those in the private market",U.S. Department of Health and Human Services,Medicaid,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,468,2026-02-11,Not initiated
186,Medicaid,CMS should allow providers to make payment reforms without cumbersome waivers or state plan amendment processes where possible,U.S. Department of Health and Human Services,Medicaid,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,468,2026-02-11,Not initiated
187,Affordable Care Act,Remove barriers to direct primary care by clarifying that DPC’s fixed fee for care does not constitute insurance in the context of health savings accounts,U.S. Department of Health and Human Services,Affordable Care Act,Completed,done through legislation,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,469,2026-02-11,Completed
188,Affordable Care Act,CMS should facilitate the development of shared savings and reference pricing plan options,U.S. Department of Health and Human Services,Affordable Care Act,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,469,2026-02-11,Not initiated
189,Affordable Care Act,"CMS should develop a plan to separate the non-subsidized insurance market from the subsidized market, giving the non-subsidized market regulatory relief from the costly ACA regulatory mandates",U.S. Department of Health and Human Services,Affordable Care Act,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,469,2026-02-11,Not initiated
190,Affordable Care Act,CMS should update rulemaking around hospital price transparency to include quality measures,U.S. Department of Health and Human Services,Affordable Care Act,Completed,EO 14221,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,470,2026-02-11,Completed
191,Affordable Care Act,The Center for Consumer Information and Insurance Oversight (CCIIO) should work with the Treasury Department and the Office of Management and Budget (OMB) to give consumers more flexibility with their health care dollars through expanded access to health savings accounts,U.S. Department of Health and Human Services,Affordable Care Act,Completed,done through legislation,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,470,2026-02-11,Completed
192,COVID-19/Public Health Emergencies,CMS should revise the Clinical Laboratory Improvement Amendments (CLIA) rules and expand the scope of practice of low-complexity and moderatecomplexity clinical laboratories,U.S. Department of Health and Human Services,COVID-19/Public Health Emergencies,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,470,2026-02-11,Not initiated
193,COVID-19/Public Health Emergencies,CMS should create CLIA-certification-equivalent pathways for non-clinical laboratories and researchers,U.S. Department of Health and Human Services,COVID-19/Public Health Emergencies,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,470,2026-02-11,Not initiated
194,Abortion/Reproductive Health,HHS should withdraw its Medicaid guidance (and any Section 1115 waivers issued thereunder) regarding abortion travel funding and DOJ OLC should withdraw and disavow its interpretation of the Hyde Amendment,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Completed,"EO 14182 rescinded Biden EO 14079 (which recognized abortion as healthcare, and served as part of the basis for the 1115 Waiver guidance)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,471,2026-02-11,Completed
195,Abortion/Reproductive Health,Prohibit Planned Parenthood and all other abortion providers from receiving Medicaid funds and redirect funding to health centers that provide real health care for women,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Completed,done through legislation,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,471,2026-02-11,Completed
196,Abortion/Reproductive Health,HHS should issue guidance reemphasizing that states are free to defund Planned Parenthood in their state Medicaid plans,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Completed,done through legislation,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,472,2026-02-11,Completed
197,Abortion/Reproductive Health,"HHS should propose rulemaking to interpret the Medicaid statute to disqualify
providers of elective abortion from the Medicaid program",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Completed,done through legislation,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,472,2026-02-11,Completed
198,Abortion/Reproductive Health,"CMS should resolve pending Section 1115 waivers from Idaho, South Carolina, and Tennessee that seek both to prohibit abortion providers from participating in state-run Medicaid programs and to work with other states to do the same",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,472,2026-02-11,Not initiated
199,Abortion/Reproductive Health,"HHS/CMS should withdraw appropriated funding, up to and including 10 percent of Medicaid funds, from states that require abortion insurance coverage",U.S. Department of Health and Human Services,Abortion/Reproductive Health,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,472,2026-02-11,Not initiated
